ID;STATUS;AANBIEDER;AANSLUITINGEN;DATUMPLAATSING;ADRES;geo_shape;geo_point_2d
308091.0;Bestaand;Park n charge;2.0;2022-10-24T04:00:00+02:00;Cassandraplein;"{""coordinates"": [5.48979851736105, 51.46023451647482], ""type"": ""Point""}";51.46023451647482, 5.48979851736105
308094.0;Bestaand;Allego;2.0;2022-10-24T04:00:00+02:00;Aulislaan;"{""coordinates"": [5.4899048114956965, 51.459379556240094], ""type"": ""Point""}";51.459379556240094, 5.4899048114956965
308104.0;Bestaand;Allego;2.0;2022-09-20T04:00:00+02:00;Torenberglaan;"{""coordinates"": [5.468362655586113, 51.48328831219518], ""type"": ""Point""}";51.48328831219518, 5.468362655586113
308105.0;Bestaand;EVnetNL;2.0;2022-10-26T04:00:00+02:00;Pasteurlaan;"{""coordinates"": [5.490532646913139, 51.41368930098809], ""type"": ""Point""}";51.41368930098809, 5.490532646913139
308108.0;Bestaand;EVnetNL;2.0;2022-11-01T02:00:00+01:00;Torenallee;"{""coordinates"": [5.460944679964635, 51.4454730218116], ""type"": ""Point""}";51.4454730218116, 5.460944679964635
308124.0;Bestaand;Allego;2.0;2022-10-18T04:00:00+02:00;Bekerakker;"{""coordinates"": [5.484514590611936, 51.469610256907664], ""type"": ""Point""}";51.469610256907664, 5.484514590611936
308127.0;Bestaand;Allego;2.0;2022-10-06T04:00:00+02:00;Otto Veniusweg;"{""coordinates"": [5.503836404763035, 51.43004632155877], ""type"": ""Point""}";51.43004632155877, 5.503836404763035
308134.0;Bestaand;Park n charge;2.0;2022-10-10T04:00:00+02:00;Montgomerylaan;"{""coordinates"": [5.476638559389207, 51.44672089091975], ""type"": ""Point""}";51.44672089091975, 5.476638559389207
308142.0;Bestaand;Allego;2.0;2022-09-14T04:00:00+02:00;Grassavanne;"{""coordinates"": [5.410504726623249, 51.44047084315017], ""type"": ""Point""}";51.44047084315017, 5.410504726623249
308146.0;Aangevraagde locatie;Allego;2.0;2022-06-16T04:00:00+02:00;;"{""coordinates"": [5.442858689051558, 51.4243549325154], ""type"": ""Point""}";51.4243549325154, 5.442858689051558
308149.0;Bestaand;Allego;2.0;2022-10-03T04:00:00+02:00;Boccherinilaan;"{""coordinates"": [5.450416577698197, 51.42360757845551], ""type"": ""Point""}";51.42360757845551, 5.450416577698197
